Time [ms],Voltage [V], Current [mA]
309793,2.02,51.72
310864,2.01,55.52
311936,1.99,61.12
313007,1.98,65.16
314078,1.98,65.40
315149,1.97,66.44
316220,1.97,66.64
317291,1.97,66.96
318362,1.96,71.16
319436,1.93,77.36
320507,1.92,79.92
321579,1.91,83.68
322649,1.90,84.76
323720,1.87,91.96
324791,1.87,92.96
325862,1.83,98.64
326933,1.78,107.88
328005,1.75,111.44
329076,1.73,114.00
330147,1.72,114.76
331218,1.42,127.96
332290,0.73,131.56
333361,0.34,131.76
334432,0.23,131.76
335503,0.20,131.92
336575,0.10,131.92
337646,0.10,131.64
338717,0.08,132.12
339788,0.07,131.88
340859,0.09,131.64
341931,0.08,131.68
343002,0.03,131.80
344073,0.05,131.64
345144,0.01,132.04
346215,0.01,131.84
347288,0.01,131.96
348359,0.02,131.64
349430,0.01,131.52
350501,0.01,131.92
351572,0.01,130.24
352644,0.01,130.76
