Time [ms],Voltage [V], Current [mA]
85240744,1.04,65.16
85300815,1.07,65.64
85360888,1.09,66.04
85420959,1.10,66.52
85481029,1.10,66.24
85541100,1.10,65.64
85601170,0.77,49.64
85661241,0.50,35.72
85721311,0.49,35.12
85781382,1.06,63.96
85841453,1.03,62.52
85901522,0.64,43.04
85961593,1.02,62.08
86021663,1.09,65.44
86081734,1.06,63.96
86141804,1.20,71.32
86201875,1.20,72.04
86261946,1.22,72.24
86322016,1.24,72.56
86382087,1.24,73.20
86442157,1.25,73.52
86502227,1.26,73.88
86562298,1.26,74.44
86622368,1.25,75.20
86682439,1.24,75.48
86742510,1.15,71.96
86802580,0.46,35.24
86862653,0.43,32.88
86922724,1.15,69.32
86982795,1.27,74.72
87042865,1.29,75.76
87102936,1.31,76.64
87163005,1.31,77.08
87223076,1.31,77.60
87283146,1.32,78.04
87343217,1.33,78.60
87403288,1.33,79.12
87463358,1.34,79.32
87523429,1.35,79.36
87583499,1.35,79.68
87643570,1.35,80.08
87703641,1.34,80.64
87763710,1.34,80.84
87823781,1.36,81.00
87883851,1.36,81.32
87943922,1.33,81.96
88003993,1.34,82.44
88064064,1.33,82.92
88124134,1.32,83.56
88184205,1.32,84.12
88244276,1.33,84.60
88304349,1.34,85.04
88364420,1.34,85.44
88424489,1.34,85.56
88484560,1.36,85.56
88544631,1.35,86.04
88604701,1.35,86.56
88664772,1.37,86.60
88724843,1.39,86.56
88784913,1.40,86.92
88844984,1.40,87.16
88905055,1.40,87.64
88965125,1.41,88.32
89025196,1.42,88.72
89085266,1.41,89.44
89145336,1.42,89.76
89205407,1.44,90.24
89265477,1.40,87.96
89325548,1.36,85.44
89385619,1.43,89.36
89445689,1.46,90.96
89505760,1.44,90.24
89565830,1.44,89.88
89625901,1.46,90.88
89685971,1.47,91.64
89746041,1.47,91.88
89806115,1.48,91.92
89866186,1.48,92.12
89926257,1.48,92.24
89986328,1.49,92.24
90046398,1.50,92.24
90106469,1.51,92.52
90166540,1.51,92.84
90226610,1.51,92.96
90286681,1.53,93.08
90346752,1.51,92.24
90406822,1.49,90.92
90466892,1.49,90.92
90526963,1.52,92.56
90587034,1.48,90.72
90647104,1.40,87.16
90707175,1.44,89.36
90767246,1.44,88.92
90827317,1.49,92.04
90887387,1.52,93.56
90947458,1.53,94.44
91007528,1.55,95.76
91067598,1.55,95.68
91127669,1.55,95.88
91187740,1.56,95.96
91247813,1.54,95.32
91307884,1.55,95.68
91367955,1.55,95.44
91428025,1.51,93.56
91488096,1.56,96.20
91548167,1.56,96.36
91608238,1.57,96.88
91668307,1.57,96.96
91728379,1.57,96.80
